Agent_ID,Business_Name,Provider,State,Geo_Zone,LGA,Business_Category,Agent_Tier,KYC_Level,Terminal_Type,Registration_Date,Years_in_Business,Risk_Score,Average_Daily_Customers,Latitude,Longitude
AG000027,Adeyemi LLC,Moniepoint,Lagos,South West,Lagos Zone 12,Standalone POS Kiosk,Gold,Tier 3,Traditional POS,2024-06-22,0.5,40.8,91,6.598893,3.359409
AG000028,Balogun-Olawale,OPay,Lagos,South West,Lagos Urban,Standalone POS Kiosk,Bronze,Tier 2,Traditional POS,2018-10-12,6.2,47.6,26,6.525444,3.390735
AG000029,Obasanjo Ltd,OPay,Lagos,South West,Lagos North,Standalone POS Kiosk,Platinum,Tier 2,Android POS,2020-07-22,4.4,61.0,160,6.508514,3.398863
AG000030,Abiola-Oshodi,Moniepoint,Lagos,South West,Lagos Industrial,Electronics Shop,Bronze,Tier 2,Android POS,2018-11-23,6.1,65.7,36,6.483857,3.316321
AG000031,Ekwueme-Eze,OPay,Lagos,South West,Lagos Rural,Standalone POS Kiosk,Gold,Tier 2,mPOS,2019-02-18,5.9,18.3,90,6.531988,3.324746
AG000032,Eze-Okafor,Moniepoint,Lagos,South West,Lagos Zone 13,Supermarket,Platinum,Tier 2,Android POS,2021-02-12,3.9,66.2,166,6.514898,3.361328
AG000033,"Akinwale, Akinwale and Balogun",Moniepoint,Lagos,South West,Lagos Zone 15,Provision Store,Gold,Tier 2,Android POS,2022-02-03,2.9,9.5,73,6.511067,3.401593
AG000034,"Obasanjo, Ojo and Obasanjo",Paga,Lagos,South West,Lagos Metro,Mini Mart,Bronze,Tier 1,mPOS,2022-02-25,2.9,94.5,30,6.444494,3.402309
AG000035,Nnamani-Okafor,Paga,Lagos,South West,Lagos Zone 12,Supermarket,Bronze,Tier 1,Traditional POS,2020-05-08,4.7,73.2,30,6.525357,3.374956
AG000036,Ibrahim Group,PalmPay,Lagos,South West,Lagos Market,Standalone POS Kiosk,Silver,Tier 2,Traditional POS,2018-10-20,6.2,19.6,42,6.598606,3.396981
AG000037,Adeyemi Inc,Moniepoint,Lagos,South West,Lagos Zone 20,Standalone POS Kiosk,Silver,Tier 1,Android POS,2019-12-02,5.1,34.0,42,6.554626,3.402679
AG000038,Obi Ltd,Moniepoint,Lagos,South West,Lagos Zone 18,Provision Store,Bronze,Tier 1,Android POS,2020-09-29,4.3,64.6,32,6.506483,3.346823
AG000039,Oyekan-Olawale,PalmPay,Lagos,South West,Lagos Metro,Market Stall,Bronze,Tier 3,Android POS,2023-03-09,1.8,40.3,24,6.590465,3.391576
AG000040,Adetokunbo-Oyekan,OPay,Lagos,South West,Lagos Zone 13,Supermarket,Platinum,Tier 2,Traditional POS,2021-01-10,4.0,27.6,173,6.425895,3.42383
AG000041,Ibrahim-Balogun,Moniepoint,Lagos,South West,Lagos Zone 18,Standalone POS Kiosk,Silver,Tier 1,mPOS,2020-06-18,4.5,24.9,55,6.476703,3.389895
AG000042,"Okonkwo, Chukwu and Akinwale",OPay,Lagos,South West,Lagos Zone 11,Mini Mart,Bronze,Tier 2,Android POS,2018-08-18,6.4,57.2,26,6.605261,3.384418
AG000043,Ogunleye-Chukwu,Moniepoint,Lagos,South West,Lagos Rural,Provision Store,Bronze,Tier 3,mPOS,2018-05-12,6.6,75.2,26,6.570483,3.361155
AG000044,Ojo-Obi,FirstMonie,Lagos,South West,Lagos Zone 11,Supermarket,Bronze,Tier 1,Android POS,2022-07-02,2.5,82.0,8,6.394189,3.389147
AG000045,Okonkwo-Balogun,Moniepoint,Lagos,South West,Lagos Market,Restaurant,Gold,Tier 2,Traditional POS,2018-09-29,6.3,18.6,105,6.584025,3.384674
AG000046,"Obi, Ibrahim and Chukwu",PalmPay,Lagos,South West,Lagos Urban,Provision Store,Bronze,Tier 1,Android POS,2024-05-12,0.6,73.9,34,6.490615,3.380908
AG000047,"Uche, Ibrahim and Oyekan",Moniepoint,Lagos,South West,Lagos Zone 11,Standalone POS Kiosk,Platinum,Tier 2,Android POS,2020-05-20,4.6,71.8,186,6.46696,3.366613
AG000048,Eze LLC,OPay,Lagos,South West,Lagos Zone 16,Standalone POS Kiosk,Bronze,Tier 3,Traditional POS,2022-06-09,2.6,21.3,34,6.56357,3.366623
AG000049,Akinwale PLC,OPay,Lagos,South West,Lagos Zone 15,Mobile Agent,Gold,Tier 3,Android POS,2019-08-09,5.4,12.1,121,6.573343,3.469308
AG000050,Oyekan LLC,Moniepoint,Lagos,South West,Lagos Market,Electronics Shop,Bronze,Tier 2,mPOS,2019-07-26,5.4,8.8,30,6.556923,3.304046
AG000051,Okonkwo-Chukwu,Paga,Lagos,South West,Lagos Rural,Fuel Station,Bronze,Tier 3,Android POS,2024-04-18,0.7,38.2,39,6.679896,3.433297
AG000052,Uche-Okafor,PalmPay,Lagos,South West,Lagos Zone 18,Market Stall,Silver,Tier 2,Traditional POS,2020-12-12,4.1,82.6,64,6.566347,3.348337
AG000053,Okafor PLC,Paga,Lagos,South West,Lagos Zone 19,Provision Store,Bronze,Tier 2,mPOS,2022-10-21,2.2,70.4,30,6.563347,3.410881
AG000054,Olawale Ltd,FirstMonie,Lagos,South West,Lagos Zone 19,Provision Store,Silver,Tier 1,Traditional POS,2022-06-24,2.5,71.1,55,6.509702,3.37562
AG000055,Olawale-Akinwale,OPay,Lagos,South West,Lagos Zone 12,Standalone POS Kiosk,Gold,Tier 3,mPOS,2020-06-17,4.5,68.4,72,6.506549,3.38886
AG000056,Eze Ltd,Paga,Lagos,South West,Lagos West,Standalone POS Kiosk,Platinum,Tier 2,Traditional POS,2023-09-19,1.3,82.6,202,6.549001,3.352898
AG000057,Akinwale-Obi,Moniepoint,Lagos,South West,Lagos Zone 16,Provision Store,Silver,Tier 1,mPOS,2019-01-08,6.0,31.1,50,6.481261,3.398029
AG000058,Ibrahim-Oyekan,Moniepoint,Lagos,South West,Lagos North,Standalone POS Kiosk,Gold,Tier 2,Traditional POS,2019-03-26,5.8,80.0,107,6.505936,3.386369
AG000059,Abiola-Akinwale,Moniepoint,Lagos,South West,Lagos West,Standalone POS Kiosk,Silver,Tier 2,Android POS,2019-10-18,5.2,70.9,39,6.580034,3.34494
AG000060,"Abiola, Uche and Adetokunbo",Moniepoint,Lagos,South West,Lagos Zone 14,Standalone POS Kiosk,Gold,Tier 2,Traditional POS,2024-09-08,0.3,34.9,92,6.516605,3.351786
AG000061,"Nnamani, Ekwueme and Ibrahim",OPay,Lagos,South West,Lagos South,Pharmacy,Platinum,Tier 2,Traditional POS,2022-04-26,2.7,72.6,161,6.458098,3.364487
AG000062,Chukwu-Okafor,Moniepoint,Lagos,South West,Lagos Zone 13,Provision Store,Bronze,Tier 3,Android POS,2024-09-06,0.3,51.7,24,6.51288,3.332988
AG000063,Olawale LLC,FirstMonie,Lagos,South West,Lagos Zone 15,Pharmacy,Silver,Tier 2,Android POS,2023-12-08,1.1,23.5,40,6.491899,3.291827
AG000064,Obasanjo PLC,OPay,Lagos,South West,Lagos Market,Pharmacy,Bronze,Tier 3,Traditional POS,2024-03-16,0.8,11.9,27,6.497066,3.365617
AG000065,Obasanjo and Sons,Moniepoint,Lagos,South West,Lagos Central,Supermarket,Silver,Tier 2,Android POS,2019-04-15,5.7,68.6,63,6.466987,3.300451
AG000066,Olawale Ltd,OPay,Lagos,South West,Lagos Zone 18,Supermarket,Bronze,Tier 3,mPOS,2020-12-28,4.0,14.5,33,6.551974,3.396229
AG000067,"Adeyemi, Okafor and Olawale",Moniepoint,Lagos,South West,Lagos Zone 11,Supermarket,Bronze,Tier 3,Traditional POS,2019-04-02,5.8,57.5,26,6.522226,3.362844
AG000068,Ogunleye Inc,PalmPay,Lagos,South West,Lagos Industrial,Provision Store,Platinum,Tier 3,Android POS,2022-11-16,2.1,65.5,129,6.523222,3.370482
AG000069,"Okafor, Balogun and Oshodi",Moniepoint,Lagos,South West,Lagos Metro,Fuel Station,Bronze,Tier 3,Android POS,2023-02-02,1.9,70.1,25,6.444071,3.37999
AG000070,Akinwale and Sons,Paga,Lagos,South West,Lagos Central,Pharmacy,Silver,Tier 2,Traditional POS,2020-12-14,4.1,13.2,54,6.539111,3.36748
AG000071,"Obasanjo, Obasanjo and Oshodi",PalmPay,Lagos,South West,Lagos Zone 17,Standalone POS Kiosk,Silver,Tier 2,Android POS,2020-01-02,5.0,10.6,45,6.482809,3.464451
AG000072,Oshodi Group,Moniepoint,Lagos,South West,Lagos Zone 17,Pharmacy,Silver,Tier 1,mPOS,2019-03-12,5.8,80.5,51,6.549384,3.4028
AG000073,Chukwu Inc,Moniepoint,Lagos,South West,Lagos Industrial,Supermarket,Platinum,Tier 2,Traditional POS,2023-09-11,1.3,51.9,191,6.568765,3.369948
AG000074,"Ojo, Nnamani and Ojo",FirstMonie,Lagos,South West,Lagos Zone 20,Supermarket,Gold,Tier 2,Android POS,2020-03-25,4.8,38.2,85,6.539591,3.415278
AG000075,Ekwueme-Adeyemi,PalmPay,Lagos,South West,Lagos West,Provision Store,Gold,Tier 2,Android POS,2022-03-12,2.8,44.8,85,6.610369,3.406116
AG000076,"Chukwu, Adeyemi and Adetokunbo",PalmPay,Lagos,South West,Lagos Metro,Restaurant,Bronze,Tier 2,Android POS,2024-01-19,1.0,7.0,29,6.525669,3.283216
AG000077,"Ogunleye, Chukwu and Okafor",PalmPay,Lagos,South West,Lagos Zone 17,Provision Store,Bronze,Tier 3,Android POS,2018-01-03,7.0,64.0,25,6.596582,3.344238
AG000078,Abiola PLC,Moniepoint,Lagos,South West,Lagos Zone 20,Standalone POS Kiosk,Bronze,Tier 1,Traditional POS,2021-08-20,3.4,84.4,25,6.552931,3.427609
AG000079,Eze-Ojo,OPay,Lagos,South West,Lagos Zone 16,Standalone POS Kiosk,Bronze,Tier 2,Android POS,2018-03-21,6.8,37.1,45,6.586634,3.431648
AG000080,Balogun Group,Moniepoint,Lagos,South West,Lagos East,Standalone POS Kiosk,Gold,Tier 3,mPOS,2022-01-26,2.9,34.4,87,6.528695,3.268235
AG000081,Olawale Group,FirstMonie,Lagos,South West,Lagos Industrial,Market Stall,Platinum,Tier 1,Android POS,2020-09-07,4.3,22.4,174,6.673663,3.400084
AG000082,"Chukwu, Adeyemi and Akinwale",OPay,Lagos,South West,Lagos North,Restaurant,Gold,Tier 3,Android POS,2020-09-13,4.3,59.9,107,6.548082,3.332881
AG000083,Olawale and Sons,Moniepoint,Lagos,South West,Lagos Zone 19,Pharmacy,Bronze,Tier 2,Android POS,2018-11-19,6.1,51.3,33,6.570323,3.365149
AG000084,Ojo Group,Moniepoint,Lagos,South West,Lagos South,Standalone POS Kiosk,Bronze,Tier 2,Android POS,2023-06-14,1.6,59.7,30,6.455519,3.350961
AG000085,Abiola-Adetokunbo,Moniepoint,Lagos,South West,Lagos South,Mini Mart,Bronze,Tier 2,Traditional POS,2023-12-22,1.0,53.7,18,6.430404,3.433496
AG000086,Obi Group,Moniepoint,Lagos,South West,Lagos West,Provision Store,Bronze,Tier 2,mPOS,2019-06-10,5.6,61.8,34,6.473705,3.383484
AG000087,Adetokunbo LLC,PalmPay,Lagos,South West,Lagos Zone 16,Standalone POS Kiosk,Silver,Tier 2,Android POS,2024-03-01,0.8,40.3,45,6.556957,3.372596
AG000088,Uche-Ojo,PalmPay,Lagos,South West,Lagos Metro,Provision Store,Silver,Tier 1,Traditional POS,2020-12-21,4.0,11.2,56,6.65544,3.323602
AG000089,"Akinwale, Oshodi and Eze",FirstMonie,Lagos,South West,Lagos Zone 17,Pharmacy,Silver,Tier 2,Android POS,2024-10-20,0.2,80.3,57,6.612331,3.397272
AG000090,Uche and Sons,OPay,Lagos,South West,Lagos Zone 14,Standalone POS Kiosk,Silver,Tier 3,Android POS,2020-05-17,4.6,21.5,58,6.484398,3.376024
AG000091,Obasanjo Ltd,Moniepoint,Lagos,South West,Lagos Zone 18,Electronics Shop,Bronze,Tier 3,Android POS,2020-04-03,4.8,92.1,33,6.412056,3.388777
AG000092,"Adeyemi, Ogunleye and Adeyemi",PalmPay,Lagos,South West,Lagos Industrial,Provision Store,Bronze,Tier 3,Android POS,2022-06-23,2.5,94.7,24,6.430572,3.410186
AG000093,Obasanjo Group,PalmPay,Lagos,South West,Lagos Zone 12,Provision Store,Bronze,Tier 2,Android POS,2022-11-30,2.1,70.0,24,6.414122,3.44367
AG000094,"Ibrahim, Obi and Adeyemi",OPay,Lagos,South West,Lagos Zone 17,Standalone POS Kiosk,Bronze,Tier 2,Android POS,2023-01-24,1.9,5.5,33,6.55434,3.412617
AG000095,"Olawale, Obi and Olawale",PalmPay,Lagos,South West,Lagos East,Standalone POS Kiosk,Silver,Tier 3,Traditional POS,2020-10-12,4.2,77.3,62,6.563853,3.321987
AG000096,"Olawale, Okafor and Adetokunbo",OPay,Lagos,South West,Lagos Rural,Supermarket,Silver,Tier 3,Android POS,2018-09-20,6.3,22.5,55,6.539229,3.402359
AG000097,Obasanjo and Sons,OPay,Lagos,South West,Lagos Zone 11,Fuel Station,Gold,Tier 2,Traditional POS,2018-03-28,6.8,61.9,97,6.571466,3.37458
AG000098,"Oyekan, Adeyemi and Oyekan",OPay,Lagos,South West,Lagos Zone 19,Standalone POS Kiosk,Silver,Tier 2,Android POS,2024-03-18,0.8,26.7,42,6.505875,3.308922
AG000099,Ojo Ltd,Moniepoint,Lagos,South West,Lagos Rural,Provision Store,Gold,Tier 1,Android POS,2024-08-07,0.4,79.0,81,6.600364,3.434617
AG000100,"Obasanjo, Ibrahim and Ogunleye",Moniepoint,Lagos,South West,Lagos Rural,Pharmacy,Bronze,Tier 2,mPOS,2018-01-30,6.9,62.3,31,6.46562,3.334447
AG000101,Abiola-Ogunleye,Moniepoint,Lagos,South West,Lagos South,Pharmacy,Bronze,Tier 2,Traditional POS,2018-08-30,6.3,78.3,33,6.462774,3.414831
AG000102,Balogun Group,PalmPay,Lagos,South West,Lagos Rural,Standalone POS Kiosk,Bronze,Tier 2,Android POS,2018-10-04,6.2,43.9,32,6.541883,3.30096
AG000103,Uche Group,Moniepoint,Lagos,South West,Lagos North,Pharmacy,Bronze,Tier 2,mPOS,2021-09-15,3.3,86.1,26,6.560994,3.355743
AG000104,Olawale-Okonkwo,OPay,Lagos,South West,Lagos South,Standalone POS Kiosk,Silver,Tier 1,mPOS,2023-10-07,1.2,34.4,61,6.562239,3.409823
AG000105,Oyekan-Obasanjo,FirstMonie,Lagos,South West,Lagos Rural,Mobile Agent,Gold,Tier 2,Android POS,2021-02-14,3.9,7.0,79,6.512196,3.43994
AG000106,Olawale PLC,Moniepoint,Lagos,South West,Lagos Zone 16,Standalone POS Kiosk,Silver,Tier 2,Android POS,2020-05-27,4.6,6.3,49,6.555503,3.445647
AG000107,Ibrahim LLC,OPay,Lagos,South West,Lagos Zone 18,Standalone POS Kiosk,Gold,Tier 3,Traditional POS,2019-06-26,5.5,82.8,125,6.575585,3.460897
AG000108,Nnamani Inc,PalmPay,Lagos,South West,Lagos Zone 19,Fuel Station,Platinum,Tier 2,Traditional POS,2024-06-18,0.5,40.0,213,6.549393,3.309235
AG000109,Nnamani LLC,Moniepoint,Lagos,South West,Lagos Zone 16,Market Stall,Gold,Tier 2,Android POS,2020-09-22,4.3,58.4,104,6.568662,3.375893
AG000110,Ekwueme PLC,Moniepoint,Lagos,South West,Lagos Zone 16,Pharmacy,Silver,Tier 2,mPOS,2022-07-26,2.4,20.1,48,6.622529,3.379385
AG000111,"Uche, Oyekan and Ibrahim",Moniepoint,Lagos,South West,Lagos Urban,Pharmacy,Silver,Tier 2,Android POS,2019-01-22,5.9,21.1,67,6.608651,3.359315
AG000112,Akinwale LLC,Moniepoint,Lagos,South West,Lagos East,Restaurant,Silver,Tier 1,Android POS,2022-11-01,2.2,75.1,73,6.602108,3.421899
AG000113,"Chukwu, Eze and Balogun",Paga,Lagos,South West,Lagos Zone 12,Electronics Shop,Gold,Tier 3,Android POS,2022-10-01,2.3,18.8,57,6.50957,3.296464
AG000114,Chukwu Ltd,PalmPay,Lagos,South West,Lagos Zone 14,Supermarket,Gold,Tier 2,Android POS,2023-03-28,1.8,9.7,103,6.520703,3.356617
AG000115,"Eze, Balogun and Uche",PalmPay,Lagos,South West,Lagos North,Supermarket,Bronze,Tier 3,mPOS,2019-02-08,5.9,82.7,21,6.555536,3.370877
AG000116,"Abiola, Ogunleye and Abiola",FirstMonie,Lagos,South West,Lagos North,Standalone POS Kiosk,Silver,Tier 3,mPOS,2022-07-08,2.5,7.7,57,6.537058,3.420217
AG000117,"Balogun, Ibrahim and Oshodi",PalmPay,Lagos,South West,Lagos Zone 11,Provision Store,Platinum,Tier 3,Android POS,2019-03-24,5.8,92.8,157,6.514577,3.396353
AG000118,Adeyemi-Olawale,Moniepoint,Lagos,South West,Lagos Rural,Standalone POS Kiosk,Platinum,Tier 2,Android POS,2020-02-24,4.9,24.0,177,6.515561,3.301769
AG000119,"Ojo, Balogun and Adeyemi",FirstMonie,Lagos,South West,Lagos Urban,Standalone POS Kiosk,Bronze,Tier 1,Android POS,2024-01-06,1.0,30.1,27,6.548372,3.348565
AG000120,Ogunleye and Sons,OPay,Lagos,South West,Lagos Zone 15,Standalone POS Kiosk,Bronze,Tier 1,Android POS,2019-07-29,5.4,37.0,34,6.501594,3.388271
AG000121,"Balogun, Obi and Ekwueme",PalmPay,Lagos,South West,Lagos Zone 14,Electronics Shop,Bronze,Tier 1,Android POS,2020-01-22,4.9,32.2,27,6.481979,3.446801
AG000122,"Ojo, Akinwale and Okonkwo",FirstMonie,Lagos,South West,Lagos Market,Supermarket,Bronze,Tier 2,Android POS,2023-03-10,1.8,61.2,29,6.519627,3.290388
AG000123,Olawale Ltd,Moniepoint,Lagos,South West,Lagos Rural,Provision Store,Bronze,Tier 2,Traditional POS,2018-11-05,6.2,46.3,27,6.492622,3.406292
AG000124,Akinwale Inc,Moniepoint,Lagos,South West,Lagos Zone 15,Electronics Shop,Silver,Tier 3,Android POS,2024-03-04,0.8,53.4,71,6.510456,3.421458
AG000125,Obasanjo-Akinwale,Moniepoint,Lagos,South West,Lagos East,Provision Store,Bronze,Tier 3,Android POS,2018-07-27,6.4,37.5,35,6.5213,3.365544
AG000126,Ojo and Sons,OPay,Lagos,South West,Lagos Zone 18,Provision Store,Bronze,Tier 3,Android POS,2018-03-02,6.8,22.7,34,6.619607,3.460498
AG000127,Uche LLC,FirstMonie,Lagos,South West,Lagos South,Pharmacy,Silver,Tier 2,Traditional POS,2020-08-26,4.4,17.7,69,6.466011,3.314624
AG000128,Nnamani and Sons,FirstMonie,Lagos,South West,Lagos Metro,Standalone POS Kiosk,Bronze,Tier 1,Traditional POS,2022-07-23,2.4,30.7,29,6.469157,3.390227
AG000129,"Okafor, Chukwu and Nnamani",Moniepoint,Lagos,South West,Lagos Zone 16,Electronics Shop,Bronze,Tier 2,Android POS,2023-05-26,1.6,76.6,35,6.534105,3.4052
AG000130,"Ojo, Oyekan and Eze",OPay,Lagos,South West,Lagos Urban,Standalone POS Kiosk,Bronze,Tier 3,Android POS,2022-07-01,2.5,28.7,22,6.551141,3.440649
AG000131,Obi and Sons,OPay,Lagos,South West,Lagos North,Standalone POS Kiosk,Gold,Tier 2,Android POS,2019-11-06,5.2,87.9,94,6.478916,3.34639
AG000132,Okonkwo-Obi,Moniepoint,Lagos,South West,Lagos Zone 13,Provision Store,Gold,Tier 2,Traditional POS,2018-01-09,7.0,18.9,84,6.387025,3.354213
AG000133,"Ogunleye, Ojo and Okafor",Moniepoint,Lagos,South West,Lagos Zone 13,Mobile Agent,Silver,Tier 3,Android POS,2020-12-22,4.0,7.7,51,6.543549,3.349232
AG000134,Obi-Chukwu,Moniepoint,Lagos,South West,Lagos Zone 15,Supermarket,Silver,Tier 3,Android POS,2021-03-14,3.8,50.1,43,6.420194,3.465435
AG000135,Adeyemi-Oshodi,Paga,Lagos,South West,Lagos Zone 14,Standalone POS Kiosk,Gold,Tier 1,Android POS,2024-03-26,0.8,59.7,86,6.540875,3.33847
AG000136,Abiola Group,Moniepoint,Lagos,South West,Lagos Zone 16,Electronics Shop,Bronze,Tier 2,Traditional POS,2019-09-27,5.3,16.3,24,6.487852,3.417096
AG000137,Uche-Okafor,OPay,Lagos,South West,Lagos Urban,Supermarket,Silver,Tier 3,Android POS,2021-04-30,3.7,74.8,55,6.589194,3.344064
AG000138,Okonkwo Ltd,PalmPay,Lagos,South West,Lagos Urban,Mini Mart,Bronze,Tier 2,mPOS,2018-08-28,6.4,28.9,20,6.603306,3.428472
AG000139,Adetokunbo LLC,OPay,Lagos,South West,Lagos Zone 19,Restaurant,Bronze,Tier 3,mPOS,2024-01-30,0.9,30.3,22,6.572165,3.428763
AG000140,Olawale-Balogun,Paga,Lagos,South West,Lagos North,Mobile Agent,Silver,Tier 2,Android POS,2021-07-08,3.5,12.1,65,6.442426,3.359576
AG000141,Ibrahim-Adetokunbo,Paga,Lagos,South West,Lagos North,Restaurant,Bronze,Tier 3,Android POS,2018-07-25,6.4,10.6,31,6.514875,3.32443
AG000142,"Akinwale, Ogunleye and Okonkwo",Moniepoint,Lagos,South West,Lagos Zone 19,Provision Store,Platinum,Tier 2,Android POS,2023-05-07,1.7,47.4,177,6.5847,3.41807
AG000143,Balogun and Sons,OPay,Lagos,South West,Lagos Zone 17,Supermarket,Gold,Tier 3,Traditional POS,2023-12-16,1.0,41.2,80,6.611768,3.365692
AG000144,"Balogun, Adeyemi and Chukwu",Moniepoint,Lagos,South West,Lagos Metro,Standalone POS Kiosk,Silver,Tier 1,Android POS,2018-08-21,6.4,35.8,60,6.585554,3.366257
AG000145,"Ojo, Nnamani and Ogunleye",Moniepoint,Lagos,South West,Lagos Zone 17,Fuel Station,Bronze,Tier 2,Android POS,2018-11-25,6.1,58.6,16,6.520968,3.318748
AG000146,Oyekan-Ibrahim,Moniepoint,Lagos,South West,Lagos Metro,Supermarket,Bronze,Tier 3,Android POS,2018-10-08,6.2,71.0,26,6.551574,3.389191
AG000147,Adetokunbo PLC,OPay,Lagos,South West,Lagos Zone 20,Supermarket,Gold,Tier 2,mPOS,2018-10-06,6.2,6.0,70,6.476398,3.402536
AG000148,Balogun Inc,OPay,Lagos,South West,Lagos Rural,Supermarket,Bronze,Tier 2,Android POS,2022-07-12,2.5,93.3,31,6.60022,3.409306
AG000149,"Ojo, Okonkwo and Ibrahim",Moniepoint,Lagos,South West,Lagos East,Pharmacy,Bronze,Tier 2,Android POS,2024-05-22,0.6,31.7,29,6.462312,3.375901
AG000150,"Abiola, Nnamani and Ojo",Moniepoint,Lagos,South West,Lagos Rural,Standalone POS Kiosk,Bronze,Tier 1,Traditional POS,2024-06-29,0.5,46.2,30,6.552228,3.312426
AG000151,Ogunleye PLC,FirstMonie,Lagos,South West,Lagos Zone 20,Supermarket,Bronze,Tier 2,Traditional POS,2018-06-12,6.6,36.6,27,6.59069,3.436878
