Date,Year,Quarter,Month_Number,Month_Name,Month_Short,Week_Number,Day,Day_Name,Weekend,YearMonth,MonthYear
2024-05-11,2024,Q2,5,May,May,19,11,Saturday,True,2024-05,May-2024
2024-05-12,2024,Q2,5,May,May,19,12,Sunday,True,2024-05,May-2024
2024-05-13,2024,Q2,5,May,May,20,13,Monday,False,2024-05,May-2024
2024-05-14,2024,Q2,5,May,May,20,14,Tuesday,False,2024-05,May-2024
2024-05-15,2024,Q2,5,May,May,20,15,Wednesday,False,2024-05,May-2024
2024-05-16,2024,Q2,5,May,May,20,16,Thursday,False,2024-05,May-2024
2024-05-17,2024,Q2,5,May,May,20,17,Friday,False,2024-05,May-2024
2024-05-18,2024,Q2,5,May,May,20,18,Saturday,True,2024-05,May-2024
2024-05-19,2024,Q2,5,May,May,20,19,Sunday,True,2024-05,May-2024
2024-05-20,2024,Q2,5,May,May,21,20,Monday,False,2024-05,May-2024
2024-05-21,2024,Q2,5,May,May,21,21,Tuesday,False,2024-05,May-2024
2024-05-22,2024,Q2,5,May,May,21,22,Wednesday,False,2024-05,May-2024
2024-05-23,2024,Q2,5,May,May,21,23,Thursday,False,2024-05,May-2024
2024-05-24,2024,Q2,5,May,May,21,24,Friday,False,2024-05,May-2024
2024-05-25,2024,Q2,5,May,May,21,25,Saturday,True,2024-05,May-2024
2024-05-26,2024,Q2,5,May,May,21,26,Sunday,True,2024-05,May-2024
2024-05-27,2024,Q2,5,May,May,22,27,Monday,False,2024-05,May-2024
2024-05-28,2024,Q2,5,May,May,22,28,Tuesday,False,2024-05,May-2024
2024-05-29,2024,Q2,5,May,May,22,29,Wednesday,False,2024-05,May-2024
2024-05-30,2024,Q2,5,May,May,22,30,Thursday,False,2024-05,May-2024
2024-05-31,2024,Q2,5,May,May,22,31,Friday,False,2024-05,May-2024
2024-06-01,2024,Q2,6,June,Jun,22,1,Saturday,True,2024-06,Jun-2024
2024-06-02,2024,Q2,6,June,Jun,22,2,Sunday,True,2024-06,Jun-2024
2024-06-03,2024,Q2,6,June,Jun,23,3,Monday,False,2024-06,Jun-2024
2024-06-04,2024,Q2,6,June,Jun,23,4,Tuesday,False,2024-06,Jun-2024
2024-06-05,2024,Q2,6,June,Jun,23,5,Wednesday,False,2024-06,Jun-2024
2024-06-06,2024,Q2,6,June,Jun,23,6,Thursday,False,2024-06,Jun-2024
2024-06-07,2024,Q2,6,June,Jun,23,7,Friday,False,2024-06,Jun-2024
2024-06-08,2024,Q2,6,June,Jun,23,8,Saturday,True,2024-06,Jun-2024
2024-06-09,2024,Q2,6,June,Jun,23,9,Sunday,True,2024-06,Jun-2024
2024-06-10,2024,Q2,6,June,Jun,24,10,Monday,False,2024-06,Jun-2024
2024-06-11,2024,Q2,6,June,Jun,24,11,Tuesday,False,2024-06,Jun-2024
2024-06-12,2024,Q2,6,June,Jun,24,12,Wednesday,False,2024-06,Jun-2024
2024-06-13,2024,Q2,6,June,Jun,24,13,Thursday,False,2024-06,Jun-2024
2024-06-14,2024,Q2,6,June,Jun,24,14,Friday,False,2024-06,Jun-2024
2024-06-15,2024,Q2,6,June,Jun,24,15,Saturday,True,2024-06,Jun-2024
2024-06-16,2024,Q2,6,June,Jun,24,16,Sunday,True,2024-06,Jun-2024
2024-06-17,2024,Q2,6,June,Jun,25,17,Monday,False,2024-06,Jun-2024
2024-06-18,2024,Q2,6,June,Jun,25,18,Tuesday,False,2024-06,Jun-2024
2024-06-19,2024,Q2,6,June,Jun,25,19,Wednesday,False,2024-06,Jun-2024
2024-06-20,2024,Q2,6,June,Jun,25,20,Thursday,False,2024-06,Jun-2024
2024-06-21,2024,Q2,6,June,Jun,25,21,Friday,False,2024-06,Jun-2024
2024-06-22,2024,Q2,6,June,Jun,25,22,Saturday,True,2024-06,Jun-2024
2024-06-23,2024,Q2,6,June,Jun,25,23,Sunday,True,2024-06,Jun-2024
2024-06-24,2024,Q2,6,June,Jun,26,24,Monday,False,2024-06,Jun-2024
2024-06-25,2024,Q2,6,June,Jun,26,25,Tuesday,False,2024-06,Jun-2024
2024-06-26,2024,Q2,6,June,Jun,26,26,Wednesday,False,2024-06,Jun-2024
2024-06-27,2024,Q2,6,June,Jun,26,27,Thursday,False,2024-06,Jun-2024
2024-06-28,2024,Q2,6,June,Jun,26,28,Friday,False,2024-06,Jun-2024
2024-06-29,2024,Q2,6,June,Jun,26,29,Saturday,True,2024-06,Jun-2024
2024-06-30,2024,Q2,6,June,Jun,26,30,Sunday,True,2024-06,Jun-2024
2024-07-01,2024,Q3,7,July,Jul,27,1,Monday,False,2024-07,Jul-2024
2024-07-02,2024,Q3,7,July,Jul,27,2,Tuesday,False,2024-07,Jul-2024
2024-07-03,2024,Q3,7,July,Jul,27,3,Wednesday,False,2024-07,Jul-2024
2024-07-04,2024,Q3,7,July,Jul,27,4,Thursday,False,2024-07,Jul-2024
2024-07-05,2024,Q3,7,July,Jul,27,5,Friday,False,2024-07,Jul-2024
2024-07-06,2024,Q3,7,July,Jul,27,6,Saturday,True,2024-07,Jul-2024
2024-07-07,2024,Q3,7,July,Jul,27,7,Sunday,True,2024-07,Jul-2024
2024-07-08,2024,Q3,7,July,Jul,28,8,Monday,False,2024-07,Jul-2024
2024-07-09,2024,Q3,7,July,Jul,28,9,Tuesday,False,2024-07,Jul-2024
2024-07-10,2024,Q3,7,July,Jul,28,10,Wednesday,False,2024-07,Jul-2024
2024-07-11,2024,Q3,7,July,Jul,28,11,Thursday,False,2024-07,Jul-2024
2024-07-12,2024,Q3,7,July,Jul,28,12,Friday,False,2024-07,Jul-2024
2024-07-13,2024,Q3,7,July,Jul,28,13,Saturday,True,2024-07,Jul-2024
2024-07-14,2024,Q3,7,July,Jul,28,14,Sunday,True,2024-07,Jul-2024
2024-07-15,2024,Q3,7,July,Jul,29,15,Monday,False,2024-07,Jul-2024
2024-07-16,2024,Q3,7,July,Jul,29,16,Tuesday,False,2024-07,Jul-2024
2024-07-17,2024,Q3,7,July,Jul,29,17,Wednesday,False,2024-07,Jul-2024
2024-07-18,2024,Q3,7,July,Jul,29,18,Thursday,False,2024-07,Jul-2024
2024-07-19,2024,Q3,7,July,Jul,29,19,Friday,False,2024-07,Jul-2024
2024-07-20,2024,Q3,7,July,Jul,29,20,Saturday,True,2024-07,Jul-2024
2024-07-21,2024,Q3,7,July,Jul,29,21,Sunday,True,2024-07,Jul-2024
2024-07-22,2024,Q3,7,July,Jul,30,22,Monday,False,2024-07,Jul-2024
2024-07-23,2024,Q3,7,July,Jul,30,23,Tuesday,False,2024-07,Jul-2024
2024-07-24,2024,Q3,7,July,Jul,30,24,Wednesday,False,2024-07,Jul-2024
2024-07-25,2024,Q3,7,July,Jul,30,25,Thursday,False,2024-07,Jul-2024
2024-07-26,2024,Q3,7,July,Jul,30,26,Friday,False,2024-07,Jul-2024
2024-07-27,2024,Q3,7,July,Jul,30,27,Saturday,True,2024-07,Jul-2024
2024-07-28,2024,Q3,7,July,Jul,30,28,Sunday,True,2024-07,Jul-2024
2024-07-29,2024,Q3,7,July,Jul,31,29,Monday,False,2024-07,Jul-2024
2024-07-30,2024,Q3,7,July,Jul,31,30,Tuesday,False,2024-07,Jul-2024
2024-07-31,2024,Q3,7,July,Jul,31,31,Wednesday,False,2024-07,Jul-2024
2024-08-01,2024,Q3,8,August,Aug,31,1,Thursday,False,2024-08,Aug-2024
2024-08-02,2024,Q3,8,August,Aug,31,2,Friday,False,2024-08,Aug-2024
2024-08-03,2024,Q3,8,August,Aug,31,3,Saturday,True,2024-08,Aug-2024
2024-08-04,2024,Q3,8,August,Aug,31,4,Sunday,True,2024-08,Aug-2024
2024-08-05,2024,Q3,8,August,Aug,32,5,Monday,False,2024-08,Aug-2024
2024-08-06,2024,Q3,8,August,Aug,32,6,Tuesday,False,2024-08,Aug-2024
2024-08-07,2024,Q3,8,August,Aug,32,7,Wednesday,False,2024-08,Aug-2024
2024-08-08,2024,Q3,8,August,Aug,32,8,Thursday,False,2024-08,Aug-2024
2024-08-09,2024,Q3,8,August,Aug,32,9,Friday,False,2024-08,Aug-2024
2024-08-10,2024,Q3,8,August,Aug,32,10,Saturday,True,2024-08,Aug-2024
2024-08-11,2024,Q3,8,August,Aug,32,11,Sunday,True,2024-08,Aug-2024
2024-08-12,2024,Q3,8,August,Aug,33,12,Monday,False,2024-08,Aug-2024
2024-08-13,2024,Q3,8,August,Aug,33,13,Tuesday,False,2024-08,Aug-2024
2024-08-14,2024,Q3,8,August,Aug,33,14,Wednesday,False,2024-08,Aug-2024
2024-08-15,2024,Q3,8,August,Aug,33,15,Thursday,False,2024-08,Aug-2024
2024-08-16,2024,Q3,8,August,Aug,33,16,Friday,False,2024-08,Aug-2024
2024-08-17,2024,Q3,8,August,Aug,33,17,Saturday,True,2024-08,Aug-2024
2024-08-18,2024,Q3,8,August,Aug,33,18,Sunday,True,2024-08,Aug-2024
2024-08-19,2024,Q3,8,August,Aug,34,19,Monday,False,2024-08,Aug-2024
2024-08-20,2024,Q3,8,August,Aug,34,20,Tuesday,False,2024-08,Aug-2024
2024-08-21,2024,Q3,8,August,Aug,34,21,Wednesday,False,2024-08,Aug-2024
2024-08-22,2024,Q3,8,August,Aug,34,22,Thursday,False,2024-08,Aug-2024
2024-08-23,2024,Q3,8,August,Aug,34,23,Friday,False,2024-08,Aug-2024
2024-08-24,2024,Q3,8,August,Aug,34,24,Saturday,True,2024-08,Aug-2024
2024-08-25,2024,Q3,8,August,Aug,34,25,Sunday,True,2024-08,Aug-2024
2024-08-26,2024,Q3,8,August,Aug,35,26,Monday,False,2024-08,Aug-2024
2024-08-27,2024,Q3,8,August,Aug,35,27,Tuesday,False,2024-08,Aug-2024
2024-08-28,2024,Q3,8,August,Aug,35,28,Wednesday,False,2024-08,Aug-2024
2024-08-29,2024,Q3,8,August,Aug,35,29,Thursday,False,2024-08,Aug-2024
2024-08-30,2024,Q3,8,August,Aug,35,30,Friday,False,2024-08,Aug-2024
2024-08-31,2024,Q3,8,August,Aug,35,31,Saturday,True,2024-08,Aug-2024
2024-09-01,2024,Q3,9,September,Sep,35,1,Sunday,True,2024-09,Sep-2024
2024-09-02,2024,Q3,9,September,Sep,36,2,Monday,False,2024-09,Sep-2024
2024-09-03,2024,Q3,9,September,Sep,36,3,Tuesday,False,2024-09,Sep-2024
2024-09-04,2024,Q3,9,September,Sep,36,4,Wednesday,False,2024-09,Sep-2024
2024-09-05,2024,Q3,9,September,Sep,36,5,Thursday,False,2024-09,Sep-2024
2024-09-06,2024,Q3,9,September,Sep,36,6,Friday,False,2024-09,Sep-2024
2024-09-07,2024,Q3,9,September,Sep,36,7,Saturday,True,2024-09,Sep-2024
2024-09-08,2024,Q3,9,September,Sep,36,8,Sunday,True,2024-09,Sep-2024
2024-09-09,2024,Q3,9,September,Sep,37,9,Monday,False,2024-09,Sep-2024
2024-09-10,2024,Q3,9,September,Sep,37,10,Tuesday,False,2024-09,Sep-2024
2024-09-11,2024,Q3,9,September,Sep,37,11,Wednesday,False,2024-09,Sep-2024
2024-09-12,2024,Q3,9,September,Sep,37,12,Thursday,False,2024-09,Sep-2024
2024-09-13,2024,Q3,9,September,Sep,37,13,Friday,False,2024-09,Sep-2024
2024-09-14,2024,Q3,9,September,Sep,37,14,Saturday,True,2024-09,Sep-2024
2024-09-15,2024,Q3,9,September,Sep,37,15,Sunday,True,2024-09,Sep-2024
2024-09-16,2024,Q3,9,September,Sep,38,16,Monday,False,2024-09,Sep-2024
2024-09-17,2024,Q3,9,September,Sep,38,17,Tuesday,False,2024-09,Sep-2024
2024-09-18,2024,Q3,9,September,Sep,38,18,Wednesday,False,2024-09,Sep-2024
2024-09-19,2024,Q3,9,September,Sep,38,19,Thursday,False,2024-09,Sep-2024
2024-09-20,2024,Q3,9,September,Sep,38,20,Friday,False,2024-09,Sep-2024
2024-09-21,2024,Q3,9,September,Sep,38,21,Saturday,True,2024-09,Sep-2024
2024-09-22,2024,Q3,9,September,Sep,38,22,Sunday,True,2024-09,Sep-2024
2024-09-23,2024,Q3,9,September,Sep,39,23,Monday,False,2024-09,Sep-2024
2024-09-24,2024,Q3,9,September,Sep,39,24,Tuesday,False,2024-09,Sep-2024
2024-09-25,2024,Q3,9,September,Sep,39,25,Wednesday,False,2024-09,Sep-2024
2024-09-26,2024,Q3,9,September,Sep,39,26,Thursday,False,2024-09,Sep-2024
2024-09-27,2024,Q3,9,September,Sep,39,27,Friday,False,2024-09,Sep-2024
2024-09-28,2024,Q3,9,September,Sep,39,28,Saturday,True,2024-09,Sep-2024
2024-09-29,2024,Q3,9,September,Sep,39,29,Sunday,True,2024-09,Sep-2024
2024-09-30,2024,Q3,9,September,Sep,40,30,Monday,False,2024-09,Sep-2024
2024-10-01,2024,Q4,10,October,Oct,40,1,Tuesday,False,2024-10,Oct-2024
2024-10-02,2024,Q4,10,October,Oct,40,2,Wednesday,False,2024-10,Oct-2024
2024-10-03,2024,Q4,10,October,Oct,40,3,Thursday,False,2024-10,Oct-2024
2024-10-04,2024,Q4,10,October,Oct,40,4,Friday,False,2024-10,Oct-2024
2024-10-05,2024,Q4,10,October,Oct,40,5,Saturday,True,2024-10,Oct-2024
2024-10-06,2024,Q4,10,October,Oct,40,6,Sunday,True,2024-10,Oct-2024
2024-10-07,2024,Q4,10,October,Oct,41,7,Monday,False,2024-10,Oct-2024
2024-10-08,2024,Q4,10,October,Oct,41,8,Tuesday,False,2024-10,Oct-2024
2024-10-09,2024,Q4,10,October,Oct,41,9,Wednesday,False,2024-10,Oct-2024
2024-10-10,2024,Q4,10,October,Oct,41,10,Thursday,False,2024-10,Oct-2024
2024-10-11,2024,Q4,10,October,Oct,41,11,Friday,False,2024-10,Oct-2024
2024-10-12,2024,Q4,10,October,Oct,41,12,Saturday,True,2024-10,Oct-2024
2024-10-13,2024,Q4,10,October,Oct,41,13,Sunday,True,2024-10,Oct-2024
2024-10-14,2024,Q4,10,October,Oct,42,14,Monday,False,2024-10,Oct-2024
2024-10-15,2024,Q4,10,October,Oct,42,15,Tuesday,False,2024-10,Oct-2024
2024-10-16,2024,Q4,10,October,Oct,42,16,Wednesday,False,2024-10,Oct-2024
2024-10-17,2024,Q4,10,October,Oct,42,17,Thursday,False,2024-10,Oct-2024
2024-10-18,2024,Q4,10,October,Oct,42,18,Friday,False,2024-10,Oct-2024
2024-10-19,2024,Q4,10,October,Oct,42,19,Saturday,True,2024-10,Oct-2024
2024-10-20,2024,Q4,10,October,Oct,42,20,Sunday,True,2024-10,Oct-2024
2024-10-21,2024,Q4,10,October,Oct,43,21,Monday,False,2024-10,Oct-2024
2024-10-22,2024,Q4,10,October,Oct,43,22,Tuesday,False,2024-10,Oct-2024
2024-10-23,2024,Q4,10,October,Oct,43,23,Wednesday,False,2024-10,Oct-2024
2024-10-24,2024,Q4,10,October,Oct,43,24,Thursday,False,2024-10,Oct-2024
2024-10-25,2024,Q4,10,October,Oct,43,25,Friday,False,2024-10,Oct-2024
2024-10-26,2024,Q4,10,October,Oct,43,26,Saturday,True,2024-10,Oct-2024
2024-10-27,2024,Q4,10,October,Oct,43,27,Sunday,True,2024-10,Oct-2024
2024-10-28,2024,Q4,10,October,Oct,44,28,Monday,False,2024-10,Oct-2024
2024-10-29,2024,Q4,10,October,Oct,44,29,Tuesday,False,2024-10,Oct-2024
2024-10-30,2024,Q4,10,October,Oct,44,30,Wednesday,False,2024-10,Oct-2024
2024-10-31,2024,Q4,10,October,Oct,44,31,Thursday,False,2024-10,Oct-2024
2024-11-01,2024,Q4,11,November,Nov,44,1,Friday,False,2024-11,Nov-2024
2024-11-02,2024,Q4,11,November,Nov,44,2,Saturday,True,2024-11,Nov-2024
2024-11-03,2024,Q4,11,November,Nov,44,3,Sunday,True,2024-11,Nov-2024
2024-11-04,2024,Q4,11,November,Nov,45,4,Monday,False,2024-11,Nov-2024
2024-11-05,2024,Q4,11,November,Nov,45,5,Tuesday,False,2024-11,Nov-2024
2024-11-06,2024,Q4,11,November,Nov,45,6,Wednesday,False,2024-11,Nov-2024
